K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
5,minkowski2,Sheppards_Work,ANOVA,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,3.276856517791748,0.39328211849037253
5,minkowski2,Sheppards_Work,Relief,0.7303655415133579,0.03369462106961449,0.7178217742420516,0.03663054043237935,0.7635013064576335,0.06463451159995673,0.7382827818588256,0.03670263552560576,0.7496530318247662,0.04395638679899719,0.6967637178051511,0.06418377467561498,0.7201069285034689,0.03907522514302972,8.685668778419494,0.825396796309847
7,HEOM,Majority_class,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,1.0381482362747192,0.037438291630843605
7,HEOM,Majority_class,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,5.924076771736145,0.6142716263376876
7,HEOM,Sheppards_Work,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,1.1025050401687622,0.05201282714126107
7,HEOM,Sheppards_Work,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,6.073369860649109,0.4163026852254391
7,minkowski1,Majority_class,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,1.841963529586792,0.09898363717844529
7,minkowski1,Majority_class,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,6.714829921722412,0.45293308903822505
7,minkowski1,Sheppards_Work,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,1.8720703601837159,0.1606161676267315
7,minkowski1,Sheppards_Work,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,6.636119151115418,0.6147820433966141
7,minkowski2,Majority_class,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,3.0970275163650514,0.16973194159234278
7,minkowski2,Majority_class,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,8.450076341629028,1.19755610219164
7,minkowski2,Sheppards_Work,ANOVA,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,3.2727360010147093,0.3775339179914559
7,minkowski2,Sheppards_Work,Relief,0.7261382771349176,0.032782266980753295,0.7069027185656153,0.03957044662352795,0.7793922639044419,0.06187667193857117,0.7395618228866013,0.0321071058930417,0.7563391463125491,0.0442083718440882,0.6723740201567749,0.07416395332433807,0.7090072392418223,0.04346249643121472,8.12098686695099,0.7061505275259139
1,HEOM,Inverse_Distance_Weights,ANOVA,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,1.0962677717208862,0.06441570699459102
1,minkowski1,Majority_class,Relief,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,7.103779006004333,1.2575888542977287
1,minkowski1,Inverse_Distance_Weights,Relief,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,6.894347357749939,0.5944431047832892
1,minkowski2,Majority_class,Relief,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,7.9480886220932,0.7369622762092266
1,minkowski2,Sheppards_Work,ANOVA,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,3.6011514186859133,0.9644094020832817
1,minkowski2,Sheppards_Work,Relief,0.7134314213429555,0.030017274003751142,0.6980378434354433,0.023721557581089764,0.7560101717058604,0.09678847369488006,0.7226824361372188,0.043454278053417734,0.7424790650209843,0.06923370668354925,0.6704031354983202,0.0640459428491032,0.7001179777554969,0.027983236828722138,8.891146469116212,1.0119045879532471
